County,County Code,Year,Year Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,State,StateFIPS,CountyName,StateName,CountyFIPS,StateAbbr,STATE_COUNTY,state_abbrev,FIP_unique,Population,county_test
Autauga,1001.0,2007.0,2007.0,All other non-drug and non-alcohol causes,O9,399.0,AL,1,Autauga,Alabama,1001,AL,AL | AUTAUGA,AL,10011,52405.0,Autauga
Autauga,1001.0,2008.0,2008.0,All other non-drug and non-alcohol causes,O9,448.0,AL,1,Autauga,Alabama,1001,AL,AL | AUTAUGA,AL,10011,53277.0,Autauga
Autauga,1001.0,2009.0,2009.0,All other non-drug and non-alcohol causes,O9,408.0,AL,1,Autauga,Alabama,1001,AL,AL | AUTAUGA,AL,10011,54135.0,Autauga
Autauga,1001.0,2010.0,2010.0,All other non-drug and non-alcohol causes,O9,429.0,AL,1,Autauga,Alabama,1001,AL,AL | AUTAUGA,AL,10011,54773.0,Autauga
Autauga,1001.0,2011.0,2011.0,All other non-drug and non-alcohol causes,O9,447.0,AL,1,Autauga,Alabama,1001,AL,AL | AUTAUGA,AL,10011,55227.0,Autauga
Autauga,1001.0,2012.0,2012.0,All other non-drug and non-alcohol causes,O9,508.0,AL,1,Autauga,Alabama,1001,AL,AL | AUTAUGA,AL,10011,54954.0,Autauga
Autauga,1001.0,2013.0,2013.0,All other non-drug and non-alcohol causes,O9,526.0,AL,1,Autauga,Alabama,1001,AL,AL | AUTAUGA,AL,10011,54727.0,Autauga
Baldwin,1003.0,2007.0,2007.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0,AL,1,Baldwin,Alabama,1003,AL,AL | BALDWIN,AL,10031,172404.0,Baldwin
Baldwin,1003.0,2007.0,2007.0,All other alcohol-induced causes,A9,20.0,AL,1,Baldwin,Alabama,1003,AL,AL | BALDWIN,AL,10031,172404.0,Baldwin
Baldwin,1003.0,2007.0,2007.0,All other non-drug and non-alcohol causes,O9,1633.0,AL,1,Baldwin,Alabama,1003,AL,AL | BALDWIN,AL,10031,172404.0,Baldwin
Baldwin,1003.0,2008.0,2008.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,AL,1,Baldwin,Alabama,1003,AL,AL | BALDWIN,AL,10031,175827.0,Baldwin
Baldwin,1003.0,2008.0,2008.0,All other alcohol-induced causes,A9,12.0,AL,1,Baldwin,Alabama,1003,AL,AL | BALDWIN,AL,10031,175827.0,Baldwin
Baldwin,1003.0,2008.0,2008.0,All other non-drug and non-alcohol causes,O9,1644.0,AL,1,Baldwin,Alabama,1003,AL,AL | BALDWIN,AL,10031,175827.0,Baldwin
Baldwin,1003.0,2009.0,2009.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,AL,1,Baldwin,Alabama,1003,AL,AL | BALDWIN,AL,10031,179406.0,Baldwin
Baldwin,1003.0,2009.0,2009.0,All other non-drug and non-alcohol causes,O9,1669.0,AL,1,Baldwin,Alabama,1003,AL,AL | BALDWIN,AL,10031,179406.0,Baldwin
Baldwin,1003.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0,AL,1,Baldwin,Alabama,1003,AL,AL | BALDWIN,AL,10031,183112.0,Baldwin
Baldwin,1003.0,2010.0,2010.0,All other alcohol-induced causes,A9,17.0,AL,1,Baldwin,Alabama,1003,AL,AL | BALDWIN,AL,10031,183112.0,Baldwin
Baldwin,1003.0,2010.0,2010.0,All other non-drug and non-alcohol causes,O9,1754.0,AL,1,Baldwin,Alabama,1003,AL,AL | BALDWIN,AL,10031,183112.0,Baldwin
Baldwin,1003.0,2011.0,2011.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,AL,1,Baldwin,Alabama,1003,AL,AL | BALDWIN,AL,10031,186558.0,Baldwin
