REPORTER_DEA_NO,REPORTER_STATE,REPORTER_ZIP,REPORTER_COUNTY,TRANSACTION_CODE,DRUG_CODE,DRUG_NAME,QUANTITY,TRANSACTION_DATE,Product_Name,year
PB0167127,GA,31793,TIFT,S,9193,HYDROCODONE,2.0,11232009,HYDROCODONE BIT/IBUPROFEN 7.5MG/200M,2009
PB0167127,GA,31793,TIFT,S,9193,HYDROCODONE,2.0,12172012,HYDROCODONE BIT./ACETAMINOPHEN TABS.,2012
PB0167127,GA,31793,TIFT,S,9193,HYDROCODONE,1.0,2192007,HYDROCODONE/IBUPROFEN 7.5MG/200MG TA,2007
PB0167127,GA,31793,TIFT,S,9193,HYDROCODONE,1.0,6102011,HYDROCODONE BIT/ACETA 10MG/325MG USP,2011
PB0167127,GA,31793,TIFT,S,9193,HYDROCODONE,1.0,6022008,HYDROCODONE BIT/ACETA 7.5MG/325MG US,2008
PB0167127,GA,31793,TIFT,S,9193,HYDROCODONE,2.0,6292012,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2012
PB0167127,GA,31793,TIFT,S,9193,HYDROCODONE,2.0,6292012,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2012
PB0167127,GA,31793,TIFT,S,9193,HYDROCODONE,2.0,5302007,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2007
PB0167127,GA,31793,TIFT,S,9193,HYDROCODONE,2.0,7032007,HYDROCODONE BITARTRATE 10MG/ACETAMIN,2007
PB0167127,GA,31793,TIFT,S,9193,HYDROCODONE,1.0,12202007,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,2007
PB0167127,GA,31793,TIFT,S,9193,HYDROCODONE,2.0,12062007,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2007
PB0167127,GA,31793,TIFT,S,9193,HYDROCODONE,2.0,3132008,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008
PB0167127,GA,31793,TIFT,S,9193,HYDROCODONE,2.0,9292008,HYDROCODONE BITARTRATE 10MG/ACETAMIN,2008
PB0167127,GA,31793,TIFT,S,9193,HYDROCODONE,2.0,12032008,"HYDROCODONE BIT./ACET.,7.5MG & 650MG",2008
PB0167127,GA,31793,TIFT,S,9193,HYDROCODONE,3.0,2222010,"HYDROCODONE BIT./ACET.,7.5MG & 650MG",2010
PB0167127,GA,31793,TIFT,S,9193,HYDROCODONE,1.0,10132010,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2010
PB0167127,GA,31793,TIFT,S,9193,HYDROCODONE,2.0,12282011,"HYDROCODONE BIT./ACET.,7.5MG & 650MG",2011
PB0167127,GA,31793,TIFT,S,9193,HYDROCODONE,1.0,4172012,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2012
PB0167127,GA,31793,TIFT,S,9193,HYDROCODONE,1.0,5152012,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2012
PB0167127,GA,31793,TIFT,S,9193,HYDROCODONE,1.0,9042012,"HYDROCODONE BIT./ACET.,7.5MG & 650MG",2012
