REPORTER_DEA_NO,REPORTER_STATE,REPORTER_ZIP,REPORTER_COUNTY,TRANSACTION_CODE,DRUG_CODE,DRUG_NAME,QUANTITY,TRANSACTION_DATE,Product_Name,year,month
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,4172006,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2006,41
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,5012006,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2006,50
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,9142006,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2006,91
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,10172006,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,2006,10
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,10172006,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2006,10
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,1222007,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2007,12
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,1232007,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2007,12
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,3232007,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2007,32
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,3262007,HYDROCODONE BIT. 7.5MG/ACETAMINOPHEN,2007,32
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,4132007,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2007,41
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,4242007,HYDROCODONE BIT/ACETA 5MG/325MG USP,2007,42
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,3.0,4272007,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,2007,42
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,3.0,5222007,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2007,52
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,7022007,HYDROCODONE BITARTRATE AND ACETA 10M,2007,70
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,7302007,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2007,73
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,11052007,HYDROCODONE BIT/ACETA 5MG/325MG USP,2007,11
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,4222008,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2008,42
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,9242009,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,2009,92
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,3.0,10142009,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2009,10
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,1202010,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,2010,12
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,1.0,4062010,OXYCODONE AND ACETA 7.5MG / 500MG TA,2010,40
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,2.0,4082010,OXYCODONE HCL/ACETAMINOPHEN 10MG/325,2010,40
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,5052010,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2010,50
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,5122010,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2010,51
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,7132010,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2010,71
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,8052010,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2010,80
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,12062010,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2010,12
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,1.0,2032006,OXYCODONE HYDROCHLORIDE 15MG TABLETS,2006,20
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,6122006,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2006,61
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,4.0,6272006,OXYCODONE HYDROCHLORIDE 30MG TABLET,2006,62
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,7182006,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,2006,71
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,11272006,"LORTAB 10MG/500MG/TAB,HYDROCOD.BIT.&",2006,11
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,1.0,12112006,OXYCODONE HYDROCHLORIDE EXTENDED REL,2006,12
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,6142006,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2006,61
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,3.0,8072007,"LORTAB 10MG/500MG/TAB,HYDROCOD.BIT.&",2007,80
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,1152008,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008,11
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,7212008,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008,72
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,9102008,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008,91
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,6252009,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2009,62
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,2132006,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2006,21
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,7312006,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2006,73
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,1182007,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2007,11
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,6012007,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2007,60
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,2.0,6112007,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2007,61
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,10222007,HYDROCODONE BIT.7.5MG/ACETAMINOPHEN,2007,10
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,11122007,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2007,11
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,1.0,11052007,OXYCODONE HCL/ACETAMINOPHEN 5MG/325M,2007,11
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,1072008,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008,10
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,4282008,HYDROCODONE BITARTRATE AND ACETA 10M,2008,42
PL0184933,LA,70584,SAINT LANDRY,S,9143,OXYCODONE,1.0,5012008,ENDOCET TABS - 10MG OXYCODONE.HCL &,2008,50
PL0184933,LA,70584,SAINT LANDRY,S,9193,HYDROCODONE,1.0,5082009,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2009,50
