REPORTER_DEA_NO,REPORTER_STATE,REPORTER_ZIP,REPORTER_COUNTY,TRANSACTION_CODE,DRUG_CODE,DRUG_NAME,QUANTITY,TRANSACTION_DATE,Product_Name,year
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,48.0,7182012,HYDROCODONE BIT. & APAP 5MG/500MG TA,2012
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,132.0,5182010,HYDROCODONE.BIT. & ACETA  5MG & 500M,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,132.0,6222010,HYDROCODONE.BIT. & ACETA  5MG & 500M,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,132.0,6012010,HYDROCODONE.BIT. & ACETA  5MG & 500M,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,132.0,12272010,HYDROCODONE.BIT. & ACETA  5MG & 500M,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,144.0,5062011,HYDROCODONE.BIT. & ACETA  5MG & 500M,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,288.0,9142010,HYDROCODONE BIT. & APAP 5MG/500MG TA,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,288.0,11232010,HYDROCODONE BIT. & APAP 5MG/500MG TA,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,288.0,11082011,HYDROCODONE BIT. & APAP 5MG/500MG TA,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,96.0,10312011,HYDROCODONE BIT. & APAP 5MG/500MG TA,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,144.0,10312011,HYDROCODONE BIT. & APAP 5MG/500MG TA,2011
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,48.0,8162010,HYDROCODONE BIT. & APAP 5MG/500MG TA,2010
PK0132821,OR,97230,MULTNOMAH,S,9193,HYDROCODONE,96.0,8242010,HYDROCODONE BIT. & APAP 5MG/500MG TA,2010
