REPORTER_DEA_NO,BUYER_STATE,BUYER_ZIP,BUYER_COUNTY,TRANSACTION_CODE,DRUG_CODE,DRUG_NAME,QUANTITY,TRANSACTION_DATE,Product_Name,Year,Month,StateFIPS,CountyName,StateName,CountyFIPS,StateAbbr,STATE_COUNTY,state_abbrev,FIP_unique,State,Population,county_test
PB0034861,TX,75662.0,gregg,S,9193.0,HYDROCODONE,1.0,1112006.0,HYDROCODONE BIT 5MG/ACETAMINOPHEN 50,2006.0,1.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,117118.0,Gregg
PL0184933,TX,75602.0,gregg,S,9193.0,HYDROCODONE,3.0,4162009.0,HYDROCODONE BITARTRATE 7.5MG/ACETAMI,2009.0,4.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,121238.0,Gregg
PL0184933,TX,75602.0,gregg,S,9193.0,HYDROCODONE,2.0,4272009.0,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2009.0,4.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,121238.0,Gregg
PL0184933,TX,75602.0,gregg,S,9193.0,HYDROCODONE,1.0,9242009.0,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2009.0,9.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,121238.0,Gregg
PM0001951,TX,75605.0,gregg,S,9193.0,HYDROCODONE,3.0,6232008.0,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008.0,6.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75605.0,gregg,S,9193.0,HYDROCODONE,1.0,7072008.0,HYDROCODONE BITARTRATE 7.5MG/ACETAMI,2008.0,7.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75605.0,gregg,S,9193.0,HYDROCODONE,3.0,8042008.0,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008.0,8.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75605.0,gregg,S,9193.0,HYDROCODONE,1.0,9162008.0,HYDROCODONE BIT./IBUPROFEN;7.5MG & 2,2008.0,9.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75605.0,gregg,S,9193.0,HYDROCODONE,1.0,9242008.0,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008.0,9.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75605.0,gregg,S,9193.0,HYDROCODONE,4.0,9102008.0,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008.0,9.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75605.0,gregg,S,9193.0,HYDROCODONE,3.0,9162008.0,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008.0,9.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75605.0,gregg,S,9193.0,HYDROCODONE,1.0,11072008.0,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008.0,11.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75605.0,gregg,S,9193.0,HYDROCODONE,1.0,5122008.0,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008.0,5.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75605.0,gregg,S,9193.0,HYDROCODONE,1.0,6062008.0,"HYDROCOD.BIT.& APAP,10MG/660MG/TAB",2008.0,6.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75605.0,gregg,S,9193.0,HYDROCODONE,1.0,7142008.0,HYDROCODONE BITARTRATE 10MG/ACETAMIN,2008.0,7.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75605.0,gregg,S,9193.0,HYDROCODONE,1.0,9052008.0,"HYDROCOD.BIT.& APAP,10MG/660MG/TAB",2008.0,9.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75605.0,gregg,S,9193.0,HYDROCODONE,1.0,10272008.0,HYDROCODONE BITARTRATE 7.5MG/ACETAMI,2008.0,10.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75605.0,gregg,S,9193.0,HYDROCODONE,1.0,11112008.0,HYDROCODONE BITARTRATE 7.5MG/ACETAMI,2008.0,11.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75605.0,gregg,S,9193.0,HYDROCODONE,4.0,12052008.0,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008.0,12.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75602.0,gregg,S,9193.0,HYDROCODONE,1.0,5132008.0,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008.0,5.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75602.0,gregg,S,9193.0,HYDROCODONE,2.0,5142008.0,"LORTAB 10MG/500MG/TAB,HYDROCOD.BIT.&",2008.0,5.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75602.0,gregg,S,9193.0,HYDROCODONE,2.0,6102008.0,"LORTAB 10MG/500MG/TAB,HYDROCOD.BIT.&",2008.0,6.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75602.0,gregg,S,9193.0,HYDROCODONE,1.0,9232008.0,HYDROCODONE BITARTRATE AND ACETA 7.5,2008.0,9.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75602.0,gregg,S,9193.0,HYDROCODONE,1.0,10302008.0,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008.0,10.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75602.0,gregg,S,9193.0,HYDROCODONE,2.0,10072008.0,"LORTAB 10MG/500MG/TAB,HYDROCOD.BIT.&",2008.0,10.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75647.0,gregg,S,9193.0,HYDROCODONE,2.0,5292008.0,HYDROCODONE BITARTRATE 7.5MG/ACETAMI,2008.0,5.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75647.0,gregg,S,9193.0,HYDROCODONE,2.0,6162008.0,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008.0,6.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75647.0,gregg,S,9193.0,HYDROCODONE,4.0,7012008.0,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008.0,7.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75647.0,gregg,S,9193.0,HYDROCODONE,1.0,8192008.0,HYDROCODONE BIT/ACETAMINOPHEN 5MG/50,2008.0,8.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75647.0,gregg,S,9193.0,HYDROCODONE,1.0,8082008.0,HYDROCODONE BITARTRATE 7.5MG/ACETAMI,2008.0,8.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75647.0,gregg,S,9193.0,HYDROCODONE,2.0,8192008.0,HYDROCODONE BIT. 10MG/ACETAMINOPHEN,2008.0,8.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75647.0,gregg,S,9193.0,HYDROCODONE,2.0,10272008.0,HYDROCODONE BITARTRATE 7.5MG/ACETAMI,2008.0,10.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75647.0,gregg,S,9193.0,HYDROCODONE,2.0,12092008.0,HYDROCODONE BITARTRATE 10MG/ACETAMIN,2008.0,12.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75662.0,gregg,S,9193.0,HYDROCODONE,1.0,6112008.0,NORCO;7.5MG HYDROCOD.BIT.+ 325MG ACE,2008.0,6.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75604.0,gregg,S,9193.0,HYDROCODONE,1.0,9252008.0,ZYDONE TABS;10MG HYDROCOD.BIT.& 400M,2008.0,9.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PM0001951,TX,75605.0,gregg,S,9193.0,HYDROCODONE,1.0,8142008.0,"HYDROCOD.BIT.& APAP,10MG/660MG/TAB",2008.0,8.0,48,gregg,Texas,48183,TX,TX | GREGG,TX,4818348,TX,119157.0,Gregg
PB0034861,LA,70707.0,ascension,S,9143.0,OXYCODONE,10.0,7062006.0,OXYCODONE HYDROCHLORIDE 15MG TABLETS,2006.0,7.0,22,ascension,Louisiana,22005,LA,LA | ASCENSION PARISH,LA,2200522,LA,96421.0,Ascension Parish
PB0034861,LA,70707.0,ascension,S,9143.0,OXYCODONE,3.0,3052007.0,OXYCODONE HCL 10MG TABS,2007.0,3.0,22,ascension,Louisiana,22005,LA,LA | ASCENSION PARISH,LA,2200522,LA,100132.0,Ascension Parish
PB0034861,LA,70707.0,ascension,S,9143.0,OXYCODONE,3.0,3282007.0,OXYCODONE HCL 10MG TABS,2007.0,3.0,22,ascension,Louisiana,22005,LA,LA | ASCENSION PARISH,LA,2200522,LA,100132.0,Ascension Parish
PB0034861,LA,70707.0,ascension,S,9143.0,OXYCODONE,1.0,4052007.0,ENDOCET - 7.5MG OXYCODONE.HCL/325MG,2007.0,4.0,22,ascension,Louisiana,22005,LA,LA | ASCENSION PARISH,LA,2200522,LA,100132.0,Ascension Parish
PL0184933,LA,70707.0,ascension,S,9143.0,OXYCODONE,4.0,1242006.0,ACET/OXYCOD.HCL;500MG&5.35MG/TAB,2006.0,1.0,22,ascension,Louisiana,22005,LA,LA | ASCENSION PARISH,LA,2200522,LA,96421.0,Ascension Parish
PL0184933,LA,70707.0,ascension,S,9193.0,HYDROCODONE,2.0,2242006.0,HYDROCODONE BITARTRATE AND ACETA 10M,2006.0,2.0,22,ascension,Louisiana,22005,LA,LA | ASCENSION PARISH,LA,2200522,LA,96421.0,Ascension Parish
