BUYER_STATE,BUYER_COUNTY,CountyFIPS_x,StateFIPS_x,Year,MME,FIP_unique,County,State,Population,county_test,state_abbrev,CountyFIPS_y,StateFIPS_y,CountyName,_merge
CO,adams,8001,8,2006.0,68317.53837325,80018,Adams County,CO,406575.0,Adams,CO,8001.0,8.0,Adams,both
CO,adams,8001,8,2007.0,78826.99453655,80018,Adams County,CO,415746.0,Adams,CO,8001.0,8.0,Adams,both
CO,adams,8001,8,2008.0,94424.88579365,80018,Adams County,CO,424913.0,Adams,CO,8001.0,8.0,Adams,both
CO,adams,8001,8,2009.0,110355.4147600875,80018,Adams County,CO,435700.0,Adams,CO,8001.0,8.0,Adams,both
CO,adams,8001,8,2010.0,132304.8662824875,80018,Adams County,CO,443691.0,Adams,CO,8001.0,8.0,Adams,both
CO,adams,8001,8,2011.0,157909.6309827,80018,Adams County,CO,452201.0,Adams,CO,8001.0,8.0,Adams,both
CO,adams,8001,8,2012.0,161238.2562945,80018,Adams County,CO,460558.0,Adams,CO,8001.0,8.0,Adams,both
CO,adams,8001,8,2013.0,134536.8576406125,80018,Adams County,CO,469978.0,Adams,CO,8001.0,8.0,Adams,both
CO,adams,8001,8,2014.0,143377.8797415375,80018,Adams County,CO,479946.0,Adams,CO,8001.0,8.0,Adams,both
CO,alamosa,8003,8,2006.0,8719.6030342125,80038,Alamosa County,CO,15196.0,Alamosa,CO,8003.0,8.0,Alamosa,both
CO,alamosa,8003,8,2007.0,9797.7388254125,80038,Alamosa County,CO,15180.0,Alamosa,CO,8003.0,8.0,Alamosa,both
CO,alamosa,8003,8,2008.0,11334.1265692875,80038,Alamosa County,CO,15300.0,Alamosa,CO,8003.0,8.0,Alamosa,both
CO,alamosa,8003,8,2009.0,12497.93292795,80038,Alamosa County,CO,15289.0,Alamosa,CO,8003.0,8.0,Alamosa,both
CO,alamosa,8003,8,2010.0,12969.6272438625,80038,Alamosa County,CO,15515.0,Alamosa,CO,8003.0,8.0,Alamosa,both
CO,alamosa,8003,8,2011.0,15352.656003862501,80038,Alamosa County,CO,15709.0,Alamosa,CO,8003.0,8.0,Alamosa,both
CO,alamosa,8003,8,2012.0,19640.869992262502,80038,Alamosa County,CO,15680.0,Alamosa,CO,8003.0,8.0,Alamosa,both
CO,alamosa,8003,8,2013.0,17428.7347615875,80038,Alamosa County,CO,15787.0,Alamosa,CO,8003.0,8.0,Alamosa,both
CO,alamosa,8003,8,2014.0,13959.53073,80038,Alamosa County,CO,15803.0,Alamosa,CO,8003.0,8.0,Alamosa,both
CO,arapahoe,8005,8,2006.0,98137.630030225,80058,Arapahoe County,CO,531619.0,Arapahoe,CO,8005.0,8.0,Arapahoe,both
CO,arapahoe,8005,8,2007.0,115353.0409786875,80058,Arapahoe County,CO,542039.0,Arapahoe,CO,8005.0,8.0,Arapahoe,both
CO,arapahoe,8005,8,2008.0,132501.9248362125,80058,Arapahoe County,CO,552461.0,Arapahoe,CO,8005.0,8.0,Arapahoe,both
CO,arapahoe,8005,8,2009.0,148310.0641986375,80058,Arapahoe County,CO,563161.0,Arapahoe,CO,8005.0,8.0,Arapahoe,both
CO,arapahoe,8005,8,2010.0,158171.006793525,80058,Arapahoe County,CO,574747.0,Arapahoe,CO,8005.0,8.0,Arapahoe,both
CO,arapahoe,8005,8,2011.0,179476.995661275,80058,Arapahoe County,CO,585968.0,Arapahoe,CO,8005.0,8.0,Arapahoe,both
CO,arapahoe,8005,8,2012.0,185758.514187525,80058,Arapahoe County,CO,596500.0,Arapahoe,CO,8005.0,8.0,Arapahoe,both
CO,arapahoe,8005,8,2013.0,177766.58743545,80058,Arapahoe County,CO,608467.0,Arapahoe,CO,8005.0,8.0,Arapahoe,both
CO,arapahoe,8005,8,2014.0,182808.5947403625,80058,Arapahoe County,CO,619034.0,Arapahoe,CO,8005.0,8.0,Arapahoe,both
CO,archuleta,8007,8,2006.0,1220.1436255,80078,Archuleta County,CO,11937.0,Archuleta,CO,8007.0,8.0,Archuleta,both
CO,archuleta,8007,8,2007.0,1334.7025258625001,80078,Archuleta County,CO,12262.0,Archuleta,CO,8007.0,8.0,Archuleta,both
CO,archuleta,8007,8,2008.0,1365.1988625000001,80078,Archuleta County,CO,12250.0,Archuleta,CO,8007.0,8.0,Archuleta,both
CO,archuleta,8007,8,2009.0,1651.3735952250001,80078,Archuleta County,CO,12169.0,Archuleta,CO,8007.0,8.0,Archuleta,both
CO,archuleta,8007,8,2010.0,1754.793682725,80078,Archuleta County,CO,12046.0,Archuleta,CO,8007.0,8.0,Archuleta,both
CO,archuleta,8007,8,2011.0,1833.741532725,80078,Archuleta County,CO,12021.0,Archuleta,CO,8007.0,8.0,Archuleta,both
CO,archuleta,8007,8,2012.0,2240.331975,80078,Archuleta County,CO,12132.0,Archuleta,CO,8007.0,8.0,Archuleta,both
CO,archuleta,8007,8,2013.0,2540.229345225,80078,Archuleta County,CO,12216.0,Archuleta,CO,8007.0,8.0,Archuleta,both
CO,archuleta,8007,8,2014.0,2982.927232725,80078,Archuleta County,CO,12231.0,Archuleta,CO,8007.0,8.0,Archuleta,both
CO,baca,8009,8,2006.0,632.3328750000001,80098,Baca County,CO,3933.0,Baca,CO,8009.0,8.0,Baca,both
CO,baca,8009,8,2007.0,789.7593,80098,Baca County,CO,3866.0,Baca,CO,8009.0,8.0,Baca,both
CO,baca,8009,8,2008.0,737.7027,80098,Baca County,CO,3806.0,Baca,CO,8009.0,8.0,Baca,both
CO,baca,8009,8,2009.0,718.7599875,80098,Baca County,CO,3767.0,Baca,CO,8009.0,8.0,Baca,both
CO,baca,8009,8,2010.0,895.4764125,80098,Baca County,CO,3807.0,Baca,CO,8009.0,8.0,Baca,both
CO,baca,8009,8,2011.0,1089.9651375,80098,Baca County,CO,3778.0,Baca,CO,8009.0,8.0,Baca,both
CO,baca,8009,8,2012.0,621.6920625,80098,Baca County,CO,3722.0,Baca,CO,8009.0,8.0,Baca,both
CO,baca,8009,8,2013.0,631.2013125,80098,Baca County,CO,3656.0,Baca,CO,8009.0,8.0,Baca,both
CO,baca,8009,8,2014.0,747.8132625,80098,Baca County,CO,3587.0,Baca,CO,8009.0,8.0,Baca,both
CO,bent,8011,8,2006.0,734.5743375,80118,Bent County,CO,6012.0,Bent,CO,8011.0,8.0,Bent,both
CO,bent,8011,8,2007.0,897.549975,80118,Bent County,CO,5715.0,Bent,CO,8011.0,8.0,Bent,both
CO,bent,8011,8,2008.0,1017.0682875,80118,Bent County,CO,5962.0,Bent,CO,8011.0,8.0,Bent,both
CO,bent,8011,8,2009.0,1034.0007,80118,Bent County,CO,6425.0,Bent,CO,8011.0,8.0,Bent,both
CO,bent,8011,8,2010.0,1340.479012725,80118,Bent County,CO,6500.0,Bent,CO,8011.0,8.0,Bent,both
CO,bent,8011,8,2011.0,1820.7518002125,80118,Bent County,CO,6424.0,Bent,CO,8011.0,8.0,Bent,both
CO,bent,8011,8,2012.0,2169.85545,80118,Bent County,CO,5848.0,Bent,CO,8011.0,8.0,Bent,both
CO,bent,8011,8,2013.0,1677.0128443125,80118,Bent County,CO,5761.0,Bent,CO,8011.0,8.0,Bent,both
CO,bent,8011,8,2014.0,1372.97685,80118,Bent County,CO,5820.0,Bent,CO,8011.0,8.0,Bent,both
CO,boulder,8013,8,2006.0,66507.12933912501,80138,Boulder County,CO,284243.0,Boulder,CO,8013.0,8.0,Boulder,both
CO,boulder,8013,8,2007.0,78314.17937707501,80138,Boulder County,CO,287428.0,Boulder,CO,8013.0,8.0,Boulder,both
CO,boulder,8013,8,2008.0,92915.6053248,80138,Boulder County,CO,290859.0,Boulder,CO,8013.0,8.0,Boulder,both
CO,boulder,8013,8,2009.0,101324.6859670125,80138,Boulder County,CO,293190.0,Boulder,CO,8013.0,8.0,Boulder,both
CO,boulder,8013,8,2010.0,118077.2408294625,80138,Boulder County,CO,295037.0,Boulder,CO,8013.0,8.0,Boulder,both
CO,boulder,8013,8,2011.0,123953.1957402,80138,Boulder County,CO,299957.0,Boulder,CO,8013.0,8.0,Boulder,both
CO,boulder,8013,8,2012.0,120980.6017599375,80138,Boulder County,CO,304570.0,Boulder,CO,8013.0,8.0,Boulder,both
CO,boulder,8013,8,2013.0,109586.2100695125,80138,Boulder County,CO,309323.0,Boulder,CO,8013.0,8.0,Boulder,both
CO,boulder,8013,8,2014.0,94184.4356097375,80138,Boulder County,CO,312233.0,Boulder,CO,8013.0,8.0,Boulder,both
